1	832
1	996
2	682
2	703
3	565
3	675
4	75
4	614
5	88
5	559
6	742
6	960
7	734
7	839
8	904
8	995
9	386
9	688
10	755
10	849
11	925
11	944
12	54
12	708
13	598
13	896
14	462
14	707
15	884
15	983
16	797
16	989
17	280
17	611
18	906
18	969
19	832
19	968
20	734
20	931
21	923
21	981
22	108
22	331
23	417
23	845
24	512
24	937
25	415
25	965
26	480
26	605
27	692
27	893
28	850
28	898
29	403
29	989
30	331
30	995
31	888
31	975
32	259
32	995
33	757
33	813
34	460
34	773
35	449
35	977
36	577
36	992
37	276
37	949
38	900
38	974
39	240
39	907
40	879
40	898
41	937
41	963
42	650
42	950
43	572
43	702
44	537
44	673
45	94
45	952
46	522
46	827
47	683
47	997
48	421
48	628
49	925
49	935
50	188
50	310
51	542
51	676
52	434
52	963
53	890
53	1000
54	12
54	743
55	981
55	1000
56	705
56	871
57	910
57	919
58	847
58	918
59	899
59	927
60	722
60	940
61	816
61	966
62	792
62	843
63	107
63	927
64	972
64	980
65	740
65	970
66	256
66	774
67	150
67	983
68	797
68	853
69	759
69	917
70	748
70	756
71	202
71	651
72	930
72	978
73	623
73	884
74	973
74	985
75	4
75	646
76	651
76	912
77	840
77	868
78	404
78	902
79	960
79	995
80	181
80	767
81	478
81	628
82	607
82	618
83	550
83	871
84	680
84	858
85	178
85	964
86	768
86	985
87	442
87	993
88	5
88	998
89	743
89	929
90	935
90	975
91	524
91	739
92	199
92	992
93	939
93	986
94	45
94	919
95	539
95	952
96	562
96	713
97	831
97	855
98	993
98	994
99	935
99	1000
100	799
100	951
101	441
101	477
102	260
102	919
103	838
103	966
104	250
104	750
105	857
105	921
106	816
106	893
107	63
107	988
108	22
108	970
109	185
109	499
110	937
110	993
111	258
111	834
112	609
112	740
113	818
113	998
114	643
114	801
115	229
115	974
116	629
116	974
117	946
117	998
118	965
118	994
119	923
119	981
120	607
120	989
121	743
121	919
122	628
122	975
123	972
123	981
124	696
124	897
125	953
125	976
126	954
126	959
127	961
127	974
128	402
128	966
129	550
129	653
130	191
130	626
131	815
131	866
132	452
132	982
133	970
133	995
134	860
134	879
135	548
135	944
136	644
136	842
137	646
137	945
138	858
138	976
139	278
139	711
140	405
140	931
141	335
141	977
142	961
142	978
143	946
143	979
144	934
144	947
145	794
145	911
146	868
146	879
147	267
147	776
148	934
148	977
149	929
149	951
150	67
150	925
151	845
151	1000
152	688
152	712
153	960
153	977
154	358
154	993
155	508
155	962
156	865
156	983
157	661
157	814
158	728
158	994
159	360
159	989
160	837
160	995
161	600
161	929
162	214
162	547
163	868
163	985
164	769
164	902
165	948
165	997
166	719
166	979
167	907
167	963
168	565
168	909
169	663
169	727
170	908
170	976
171	369
171	910
172	974
172	998
173	938
173	985
174	341
174	472
175	627
175	883
176	854
176	998
177	594
177	751
178	85
178	674
179	788
179	818
180	761
180	998
181	80
181	970
182	392
182	944
183	602
183	660
184	828
184	976
185	109
185	379
186	634
186	910
187	805
187	979
188	50
188	800
189	489
189	587
190	442
190	994
191	130
191	950
192	757
192	836
193	929
193	951
194	971
194	1000
195	278
195	487
196	452
196	760
197	293
197	539
198	726
198	959
199	92
199	811
200	590
200	995
201	862
201	896
202	71
202	760
203	431
203	979
204	779
204	964
205	928
205	936
206	870
206	945
207	523
207	974
208	428
208	929
209	384
209	970
210	801
210	993
211	990
211	993
212	280
212	551
213	984
213	997
214	162
214	738
215	593
215	989
216	320
216	711
217	578
217	627
218	920
218	985
219	923
219	981
220	981
220	991
221	355
221	557
222	837
222	904
223	612
223	736
224	947
224	997
225	925
225	987
226	473
226	785
227	982
227	984
228	890
228	916
229	115
229	998
230	827
230	990
231	956
231	992
232	944
232	987
233	712
233	995
234	458
234	989
235	787
235	796
236	945
236	963
237	699
237	951
238	509
238	702
239	300
239	592
240	39
240	716
241	357
241	991
242	867
242	984
243	460
243	855
244	251
244	997
245	857
245	955
246	941
246	948
247	318
247	943
248	652
248	991
249	577
249	978
250	104
250	432
251	244
251	999
252	665
252	1000
253	858
253	980
254	913
254	975
255	677
255	695
256	66
256	930
257	908
257	949
258	111
258	407
259	32
259	977
260	102
260	914
261	927
261	967
262	409
262	765
263	421
263	551
264	283
264	824
265	689
265	989
266	940
266	963
267	147
267	745
268	607
268	942
269	953
269	968
270	416
270	868
271	544
271	911
272	665
272	942
273	562
273	881
274	762
274	996
275	555
275	916
276	37
276	953
277	948
277	988
278	139
278	195
279	879
279	963
280	17
280	212
281	655
281	904
282	887
282	905
283	264
283	993
284	352
284	712
285	873
285	999
286	850
286	898
287	705
287	913
288	863
288	908
289	914
289	998
290	925
290	959
291	964
291	988
292	859
292	1000
293	197
293	894
294	425
294	985
295	899
295	998
296	847
296	998
297	621
297	955
298	510
298	891
299	303
299	853
300	239
300	990
301	933
301	989
302	504
302	854
303	299
303	730
304	991
304	1000
305	514
305	825
306	476
306	728
307	625
307	907
308	863
308	957
309	386
309	734
310	50
310	926
311	928
311	965
312	490
312	607
313	756
313	943
314	984
314	990
315	954
315	985
316	488
316	987
317	332
317	919
318	247
318	841
319	907
319	993
320	216
320	955
321	618
321	964
322	867
322	948
323	576
323	985
324	367
324	799
325	653
325	720
326	892
326	992
327	933
327	966
328	543
328	802
329	896
329	999
330	465
330	974
331	22
331	30
332	317
332	989
333	810
333	990
334	927
334	986
335	141
335	777
336	341
336	965
337	956
337	997
338	859
338	995
339	481
339	886
340	440
340	817
341	174
341	336
342	748
342	970
343	560
343	929
344	923
344	972
345	422
345	986
346	680
346	996
347	774
347	934
348	741
348	788
349	877
349	900
350	543
350	850
351	510
351	973
352	284
352	802
353	942
353	990
354	787
354	798
355	221
355	856
356	786
356	972
357	241
357	638
358	154
358	798
359	968
359	976
360	159
360	971
361	916
361	985
362	480
362	961
363	459
363	561
364	881
364	987
365	803
365	983
366	879
366	956
367	324
367	883
368	986
368	998
369	171
369	994
370	828
370	975
371	982
371	994
372	625
372	945
373	727
373	994
374	723
374	915
375	582
375	957
376	522
376	953
377	456
377	674
378	924
378	928
379	185
379	435
380	530
380	896
381	844
381	967
382	728
382	841
383	698
383	979
384	209
384	952
385	950
385	961
386	9
386	309
387	479
387	991
388	414
388	966
389	524
389	810
390	526
390	962
391	738
391	950
392	182
392	398
393	417
393	859
394	645
394	952
395	794
395	893
396	484
396	993
397	543
397	948
398	392
398	857
399	639
399	919
400	654
400	693
401	529
401	834
402	128
402	972
403	29
403	632
404	78
404	887
405	140
405	742
